"model","window","coin","horizon","accuracy","sensitivity","specificity","precision","recall","f1_score","auc","TP","TN","FP","FN","total_observations"
"RF","Window 2","DAI","depeg_7d",0.348,0.472,0.344,0.024,0.472,0.046,0.619,17,362,690,19,1088
"RF","Window 2","PAX","depeg_1d",0.99,0,1,0,0,0,0.805,0,673,0,7,680
"RF","Window 2","PAX","depeg_3d",0.917,0.158,0.939,0.07,0.158,0.097,0.537,3,619,40,16,678
"RF","Window 2","PAX","depeg_5d",0.896,0.08,0.928,0.041,0.08,0.054,0.576,2,604,47,23,676
"RF","Window 2","PAX","depeg_7d",0.92,0.032,0.963,0.04,0.032,0.036,0.661,1,619,24,30,674
"RF","Window 2","USDC","depeg_1d",0.917,0.032,0.999,0.75,0.032,0.062,0.835,3,1000,1,90,1094
"RF","Window 2","USDC","depeg_3d",0.835,0.017,0.998,0.6,0.017,0.032,0.776,3,909,2,178,1092
"RF","Window 2","USDC","depeg_5d",0.771,0.012,0.996,0.5,0.012,0.023,0.644,3,837,3,247,1090
"RF","Window 2","USDC","depeg_7d",0.71,0.038,0.981,0.444,0.038,0.071,0.66,12,760,15,301,1088
"RF","Window 2","USDT","depeg_1d",0.997,0.5,1,1,0.5,0.667,0.971,3,1088,0,3,1094
"RF","Window 2","USDT","depeg_3d",0.98,0.4,0.985,0.2,0.4,0.267,0.76,4,1066,16,6,1092
"RF","Window 2","USDT","depeg_5d",0.178,0.571,0.173,0.009,0.571,0.018,0.738,8,186,890,6,1090
"RF","Window 2","USDT","depeg_7d",0.175,0.389,0.171,0.008,0.389,0.015,0.716,7,183,887,11,1088
